Cycle,Week,AssetKey,EmbedId,WidenURL,Title
2,1,5879,kegthlnu9o,https://classicalconversations.widen.net/content/kegthlnu9o/pdf/FD---The-Sandbox---C2-W01.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 1"
2,2,5878,ki39jxenwz,https://classicalconversations.widen.net/content/ki39jxenwz/pdf/FD---The-Sandbox---C2-W02.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 2"
2,3,5881,mb2ikpaega,https://classicalconversations.widen.net/content/mb2ikpaega/pdf/FD---The-Sandbox---C2-W03.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 3"
2,4,5882,b4wxadaaxr,https://classicalconversations.widen.net/content/b4wxadaaxr/pdf/FD---The-Sandbox---C2-W04.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 4"
2,5,5883,cyqenabrh8,https://classicalconversations.widen.net/content/cyqenabrh8/pdf/FD---The-Sandbox---C2-W05.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 5"
2,6,5880,uxm9ool3ca,https://classicalconversations.widen.net/content/uxm9ool3ca/pdf/FD---The-Sandbox---C2-W06.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 6"
2,7,6112,lzbxdyqg6a,https://classicalconversations.widen.net/content/lzbxdyqg6a/pdf/FD---The-Sandbox---C2-W07.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 7"
2,8,6113,hu7ug0zmaf,https://classicalconversations.widen.net/content/hu7ug0zmaf/pdf/FD---The-Sandbox---C2-W08.pdf?u=zq6gep,"The Sandbox Ezine -  Cycle 2, Week 8"
2,9,6114,rf4vtvwl4k,https://classicalconversations.widen.net/content/rf4vtvwl4k/pdf/FD---The-Sandbox---C2-W09.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 9"
2,10,6111,fubh1kpskc,https://classicalconversations.widen.net/content/fubh1kpskc/pdf/FD---The-Sandbox---C2-W10.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 10"
2,11,6109,3jdstgbgfg,https://classicalconversations.widen.net/content/3jdstgbgfg/pdf/FD---The-Sandbox---C2-W11.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 11"
2,12,6110,woil0s7kfq,https://classicalconversations.widen.net/content/woil0s7kfq/pdf/FD---The-Sandbox---C2-W12.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 12"
2,13,6516,mvthgyqk7z,https://classicalconversations.widen.net/content/mvthgyqk7z/pdf/FD---The-Sandbox---C2-W13.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 13"
2,14,6518,slezyq0szk,https://classicalconversations.widen.net/content/slezyq0szk/pdf/FD---The-Sandbox---C2-W14.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 14"
2,15,6517,ks1sirkhsv,https://classicalconversations.widen.net/content/ks1sirkhsv/pdf/FD---The-Sandbox---C2-W15.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 15"
2,16,6515,upgzk3rset,https://classicalconversations.widen.net/content/upgzk3rset/pdf/FD---The-Sandbox---C2-W16.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 16"
2,17,6513,nvy9oquv5d,https://classicalconversations.widen.net/content/nvy9oquv5d/pdf/FD---The-Sandbox---C2-W17.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 17"
2,18,6514,med4huu8sv,https://classicalconversations.widen.net/content/med4huu8sv/pdf/FD---The-Sandbox---C2-W18.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 18"
2,19,6512,ymnnml8jvm,https://classicalconversations.widen.net/content/ymnnml8jvm/pdf/FD---The-Sandbox---C2-W19.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 19"
2,20,6511,dv8alvqtts,https://classicalconversations.widen.net/content/dv8alvqtts/pdf/FD---The-Sandbox---C2-W20.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 20"
2,21,6510,s8ih1gbx77,https://classicalconversations.widen.net/content/s8ih1gbx77/pdf/FD---The-Sandbox---C2-W21.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 21"
2,22,6509,1bnbvlj7vg,https://classicalconversations.widen.net/content/1bnbvlj7vg/pdf/FD---The-Sandbox---C2-W22.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 22"
2,23,6508,czhl461ypa,https://classicalconversations.widen.net/content/czhl461ypa/pdf/FD---The-Sandbox---C2-W23.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 23"
2,24,6519,qm9oplejun,https://classicalconversations.widen.net/content/qm9oplejun/pdf/FD---The-Sandbox---C2-W24.pdf?u=zq6gep,"The Sandbox Ezine - Cycle 2, Week 24"
